Lat,Long
11.64148766,36.84124011
9.66845,39.5234
9.6742,39.543333
10.79713242,37.99376353
11.01961203,37.92356943
11.88544872,38.6599271
12.07258927,39.00541474
11.11895452,37.90036969
10.335899,37.748252
10.321033,37.722117
11.02164837,37.59326141
10.51836149,39.47923396
11.99205954,38.50299421
11.85695,38.002967
11.851967,38.00825
10.82866028,37.90572347
11.33219777,37.43249908
9.84085,39.75665
11.80692651,38.589733
10.72491578,37.80257384
11.00271863,39.05906675
11.79443434,38.85980182
10.867555,39.64854
11.139567,39.890167
10.59258206,37.69610803
10.42611574,38.98639405
10.45883333,38.98788121
10.91515,36.59507297
10.71182506,36.87918062
10.423833,39.257917
12.462222,37.712778
11.66536005,37.81186731
11.49998751,37.74107834
11.64075642,37.14855595
10.16915,38.155833
11.6333,37.3333
10.62959137,39.58402149
11.55375186,38.99089029
11.55434673,38.99535178
11.61621271,38.9873211
12.189333,37.040617
10.574,37.47625
10.59444985,36.99876696
11.26652074,37.39680115
10.6282382,37.01933938
10.11059844,37.81449097
9.75385,39.189517
11.9415,36.992767
12.43464874,36.8326859
11.66281618,39.48323431
11.87025577,39.25204588
10.72558904,39.96465705
11.63799574,38.26028919
10.85279474,39.40634314
10.46155215,39.94740596
10.39381008,39.74411571
12.65216121,37.61109088
11.39832504,37.98996997
11.48392615,37.7041967
11.63008454,38.16504079
11.120683,39.635283
11.124983,39.635133
11.21405753,37.55884846
11.0866949,37.50100971
11.60248279,37.59497944
13.23212509,37.88874424
12.56840419,38.29018905
10.840217,37.736467
10.3263365,39.04592633
11.0072209,37.36395276
10.67994028,36.8315914
10.80222227,38.84325559
10.01942569,39.55176802
10.06642004,39.53213746
13.115278,38.441111
10.54889515,38.22518594
11.11651189,36.8152326
10.57540936,39.8792344
10.65934973,37.72842111
10.10346005,37.65173584
11.51170636,38.15373835
12.10575285,39.46134327
11.17522955,39.587898
12.40772117,35.7614367
9.650180926,39.69227836
10.82571676,39.91199958
10.79180944,39.9048612
13.12647702,37.08258285
13.02796734,37.84448626
11.19545497,38.86216635
10.7817589,38.58770148
11.49360461,39.44104163
10.82673964,39.52420577
11.50133785,39.63556256
12.4994593,37.62540334
11.56445943,38.92039876
12.87273725,37.78383975
12.93945139,37.91491831
11.54157868,38.80211161
8.988131593,39.61000255
12.4517412,35.7459702
12.59093967,35.69719125
11.51555729,39.69921997
10.31101951,40.04555873
10.40211489,39.86479789
11.353667,36.953917
11.91420624,39.62017229
12.129667,38.0555
11.4321352,39.81152371
12.02870324,38.09039567
10.54145565,36.73498528
10.97243921,38.28471213
11.17729486,37.55063932
10.74948372,38.19080273
10.52105546,37.92156672
9.890717,39.142883
10.39679596,37.21409827
9.911358498,39.49306671
9.921161877,39.38553411
9.922684732,39.38286912
11.43118539,37.12035537
11.4624629,38.64338241
11.0266917,38.97828405
13.25338161,36.80125124
13.27217935,36.75627943
13.2935945,36.84194002
